Borough,Number,Street
Brooklyn,413,HANCOCK STREET
Manhattan,1,POLICE PLAZA
Manhattan,1,POLICE PLAZA
Manhattan,1,POLICE PLAZA
Brooklyn,501,6 STREET
Queens,50-05,164 STREET
Brooklyn,735,LENOX ROAD
Staten Island,240,HAROLD STREET
Queens,158-015,98 STREET
Bronx,2244,BRONX PARK EAST
Bronx,742,EDISON AVENUE
Brooklyn,338,SACKETT STREET
Queens,90-004,188 STREET
Staten Island,531,SYCAMORE STREET
Queens,216,BEACH 143 STREET
Staten Island,79,OAKVILLE STREET
Brooklyn,111,BEDFORD AVENUE
Staten Island,30,UTOPIA COURT
Staten Island,4499,HYLAN BOULEVARD
Brooklyn,131,STARR STREET
Queens,126-005,18 AVENUE
Queens,35-011,170 STREET
Queens,43-42,164 STREET
Queens,45-44,171 PLACE
Staten Island,4871,HYLAN BOULEVARD
Manhattan,43,WEST 61 STREET
Manhattan,353,WEST 120 STREET
Brooklyn,400,ASHFORD STREET
Manhattan,1,POLICE PLAZA
Manhattan,1000,2 AVENUE
Manhattan,1285,AVENUE OF THE AMERICAS
Queens,50-05,164 STREET
Queens,64-38,136 STREET
Manhattan,25,NAGLE AVENUE
Manhattan,25,NAGLE AVENUE
Staten Island,4506,HYLAN BOULEVARD
Queens,116-020,130 STREET
Queens,114-041,177 STREET
Staten Island,445,ALBOURNE AVENUE
Staten Island,170,SUFFOLK AVENUE
Staten Island,155,GRAVES STREET
Staten Island,155,GRAVES STREET
Queens,138-084,63 AVENUE
Queens,76-44,PARK LANE SOUTH
Queens,92-43,215 STREET
Queens,12-040,NORTON DRIVE
Queens,77-22,79 STREET
Staten Island,33,WASHINGTON AVENUE
Staten Island,18,WASHINGTON AVENUE
Queens,87-12,63 DRIVE
Queens,50-021,FRANCIS LEWIS BOULEVARD
Staten Island,4771,HYLAN BOULEVARD
Queens,211-005,29 AVENUE
Bronx,824,WILCOX AVENUE
Staten Island,2180,CLOVE ROAD
Staten Island,65,MEDFORD ROAD
Staten Island,181,ARLO ROAD
Staten Island,69,GLENWOOD AVENUE
Staten Island,69,GLENWOOD AVENUE
Manhattan,2114,8 AVENUE
Brooklyn,1959,EAST 28 STREET
Manhattan,105,RIVERSIDE DRIVE
Manhattan,1,POLICE PLAZA
Manhattan,98,WEST 82 STREET
Brooklyn,2551,OCEAN PARKWAY
Manhattan,161,MAIDEN LANE
Queens,68-14,INGRAM STREET
Manhattan,161,Maiden Lane
Manhattan,1285,AVENUE OF THE AMERICAS
Staten Island,4532,HYLAN BOULEVARD
Manhattan,151,HUDSON STREET
Queens,90-08,ALBERT ROAD
Staten Island,240,HAROLD STREET
Brooklyn,173,MONTAUK AVENUE
Staten Island,155,GRAVES STREET
Staten Island,389,BRADLEY AVENUE
Staten Island,22,OAKVILLE STREET
Queens,19-061,77 STREET
Queens,15-035,124 STREET
Queens,71-01,COOPER AVENUE
Bronx,1910,WALLACE AVENUE
Queens,116-035,126 STREET
Manhattan,1,POLICE PLAZA
Staten Island,104,PEARE PLACE
Manhattan,98,Riverside Drive
Manhattan,147,WEST 51 STREET
Staten Island,145,DUNHAM STREET
Staten Island,57,MELROSE AVENUE
Queens,60-086,70 AVENUE
Queens,80-23,87 AVENUE
Staten Island,143,ARLINGTON PLACE
Queens,87-65,133 STREET
Staten Island,26,MACORMAC PLACE
Queens,103-017,91 STREET
Queens,30-023,BESSEMUND AVENUE
Queens,31-009,BESSEMUND AVENUE
Queens,104-014,131 STREET
Queens,33-036,MOTT AVENUE
Queens,12-72,WATERVIEW STREET
Queens,111-67,157 STREET
Queens,81-023,77 AVENUE
Queens,116-032,139 STREET
Queens,214-07,WHITEHALL TERRACE
Queens,29-03,BESSEMUND AVENUE
Queens,24-008,HEALY AVENUE
Queens,12-06,WATERVIEW STREET
Queens,24-15,MOTT AVENUE
Queens,14-33,GIPSON STREET
Staten Island,172,ROME AVENUE
Queens,79-04,CYPRESS AVENUE
Queens,112-033,175 PLACE
Bronx,2053,VAN HOESEN AVENUE
Queens,156-23,89 STREET
Queens,210-01,38 AVENUE
Queens,116-020,130 STREET
Staten Island,790,RICHMOND ROAD
Queens,182-075,AVON ROAD
Queens,80-34,87 ROAD
Queens,94-038,85 ROAD
Queens,182-034,DALNY ROAD
Brooklyn,1230,AVENUE V
Queens,27-018,COLDSPRING ROAD
Queens,107-022,80 STREET
Brooklyn,931,CONEY ISLAND AVENUE
Queens,85-14,125 STREET
Queens,172-27,HIGHLAND AVENUE
Queens,24-32,OCEAN CREST BOULEVARD
Queens,24-008,HEALY AVENUE
Queens,24-008,HEALY AVENUE
Queens,11-001,WATERVIEW STREET
Brooklyn,2191,OCEAN AVENUE
Queens,11-001,WATERVIEW STREET
Queens,33-40,MOTT AVENUE
Brooklyn,1356,EAST 86 STREET
Brooklyn,501,AVENUE O
Queens,61-14,166 STREET
Queens,73-004,185 STREET
Queens,89-36,88 STREET
Queens,30-10,DWIGHT AVENUE
Queens,31-005,BESSEMUND AVENUE
Queens,10-19,BAY  30 STREET
Queens,103-020,114 STREET
Manhattan,170,EAST 80 STREET
Staten Island,625,SOUTH AVENUE
Queens,117-15,134 STREET
Queens,91-12,JAMAICA AVENUE
Brooklyn,2102,73 STREET
Staten Island,50,JEFFERSON ST
Manhattan,2239,1 AVENUE
Queens,158-004,97 STREET
Manhattan,319,WEST 102 STREET
Brooklyn,2807,VOORHIES AVENUE
Staten Island,668,SOUTH GANNON AVENUE
Staten Island,9,GREENPORT STREET
Staten Island,21,COLUMBIA AVENUE
Staten Island,87,ANNADALE ROAD
Manhattan,221,WEST 79 STREET
Queens,257-010,FRANCIS LEWIS BOULEVARD
Brooklyn,8624,19 AVENUE
Staten Island,0,WAVE STREET
Brooklyn,579,LINDEN BOULEVARD
Staten Island,41,HILLIS STREET
Staten Island,233,8 STREET
Queens,108-16,MONTEREY STREET
Queens,33-38,UTOPIA PARKWAY
Queens,119-64,MERRILL STREET
Brooklyn,1195,EAST 12 STREET
Bronx,1983,SEMINOLE AVENUE
Staten Island,49,MC DONALD STREET
Queens,47-56,193 STREET
Bronx,2314,HOLLAND AVENUE
Staten Island,64,WASHINGTON AVENUE
Queens,36-27,210 STREET
Queens,42-18,108 STREET
Brooklyn,826,FLUSHING AVENUE
Queens,256-020,EAST WILLISTON AVENUE
Staten Island,152,CEDAR AVENUE
Queens,194-17,122 AVENUE
Bronx,383,KING AVENUE
Bronx,1982,BRONXDALE AVENUE
Brooklyn,4093,BEDFORD AVENUE
Queens,73-043,189 STREET
Brooklyn,1517,EAST 95 STREET
Brooklyn,463,VAN SICLEN AVENUE
Queens,106-015,223 STREET
Queens,83-012,257 STREET
Manhattan,60,SPRING STREET
Bronx,2060,TENBROECK AVENUE
Queens,110-017,COLFAX STREET
Staten Island,10,NILES PLACE
Manhattan,1475,2 AVENUE
Queens,107-033,131 STREET
Queens,106-015,223 STREET
Staten Island,315,MASON BOULEVARD
Staten Island,439,RICHARD AVENUE
Staten Island,1339,HUGUENOT AVENUE
Bronx,2932,EAST 194 STREET
Staten Island,5,FILLMORE AVENUE
Bronx,811,CLARENCE AVENUE
Queens,157-044,100 STREET
Bronx,347,EAST 234 STREET
Queens,138-16,232 STREET
Queens,72-34,57 AVENUE
Staten Island,40,CORDELIA AVENUE
Queens,61-17,79 STREET
Queens,157-47,91 STREET
Queens,159-011,97 STREET
Queens,101-040,110 STREET
Bronx,860,ASTOR AVENUE
Queens,66-34,53 DRIVE
Brooklyn,28,PAERDEGAT 13 STREET
Staten Island,54,SOUTH AVENUE
Manhattan,1,COENTIES SLIP
Queens,61-39,77 PLACE
Queens,159-52,82 STREET
Queens,51-069,72 STREET
Bronx,3258,PHILIP AVENUE
Bronx,949,ELDER AVENUE
Queens,224-11,143 AVENUE
Queens,135-39,116 STREET
Queens,135-13,HAWTREE STREET
Staten Island,248,BENZIGER AVENUE
Brooklyn,2073,58 STREET
Queens,60-015,54 AVENUE
Bronx,860,ASTOR AVENUE
Brooklyn,2,PULASKI STREET
Bronx,1836,MAYFLOWER AVENUE
Staten Island,61,FILLMORE AVENUE
Queens,36-015,218 STREET
Staten Island,134,ROOSEVELT AVENUE
Bronx,,VAN CORTLANDT PARK SOUTH
Queens,96-019,158 AVENUE
Queens,65-22,51 ROAD
Bronx,5110,POST ROAD
Staten Island,312,MOSEL AVENUE
Staten Island,16,HOPE AVENUE
Staten Island,76,NIXON AVENUE
Staten Island,127,PENDLETON PLACE
Staten Island,107,CIRCLE ROAD
Staten Island,57,RADCLIFF ROAD
Staten Island,43,DORVAL AVENUE
Queens,32-14,172 STREET
Queens,52-15,65 PLACE
Queens,248-05,54 AVENUE
Manhattan,343,1 AVENUE
Manhattan,301,EAST 91 STREET
Manhattan,324,WEST  96 STREET
Manhattan,168,EAST 7 STREET
Manhattan,80,GROVE STREET
Manhattan,220,WEST 22 STREET
Manhattan,415,EAST 12 STREET
Manhattan,415,EAST 12 STREET
Manhattan,415,EAST 12 STREET
Manhattan,415,EAST 12 STREET
Manhattan,113,HORATIO STREET
Manhattan,20,WEST 64 STREET
Manhattan,550,WEST 170 STREET
Queens,90-38,HOLLIS COURT BOULEVARD
Manhattan,109,POST AVENUE
Bronx,3176,CHAFFEE AVENUE
Queens,Q391,Joseph Austin Plgd
Queens,Q391,84 AVENUE
Queens,10-032,BURTON STREET
Brooklyn,105,LEXINGTON AVENUE
Queens,,
Manhattan,420,EAST 55 STREET
Queens,,
Staten Island,64,MOFFETT STREET
Queens,206-42,46 ROAD
Queens,58-46,79 AVENUE
Queens,30-061,32 STREET
Queens,248-22,88 ROAD
Staten Island,6900,joline ave
Staten Island,819,TYSENS LANE
Queens,150-015,115 STREET
Staten Island,421,MILL ROAD
Queens,68-17,CENTRAL AVENUE
Brooklyn,797,LENOX ROAD
Bronx,3178,CHAFFEE AVENUE
Queens,Q391,84 AVENUE
Queens,Q327,LITTLE NECK PARKWAY
Bronx,3042,LA SALLE AVENUE
Queens,89-52,210 STREET
Bronx,650,CITY ISLAND AVENUE
Brooklyn,620,EAST 81 STREET
Queens,Q391,84 AVENUE
Queens,104-28,191 STREET
Brooklyn,521,41 STREET
Staten Island,80,MANCHESTER DRIVE
Staten Island,8,MAIDEN LANE
Staten Island,59,DURANT AVENUE
Queens,59-079,58 ROAD
Queens,61-015,55 STREET
Queens,133-013,131 STREET
Staten Island,48,MOFFETT STREET
Staten Island,12,BELAIR ROAD
Queens,186-023,PINEVILLE LANE
Staten Island,126,BELAIR ROAD
Queens,75-13,37 AVENUE
Queens,87-001,32 AVENUE
Queens,54-020,69 STREET
Queens,198-022,30 AVENUE
Queens,28-46,CORPORAL KENNEDY STREET
Staten Island,7,MASSACHUSETTS STREET
Staten Island,7,MASSACHUSETTS STREET
Staten Island,184,CONNECTICUT STREET
Bronx,1755,TAYLOR AVENUE
Queens,706,WOODWARD AVENUE
Staten Island,60,BELMONT PLACE
Queens,217-016,85 AVENUE
Brooklyn,83,2 PLACE
Staten Island,7,MASSACHUSETTS STREET
Staten Island,437,HOME AVENUE
Staten Island,63,BELAIR ROAD
Queens,31-003,30 STREET
Queens,375,ONDERDONK AVENUE
Bronx,3912,ELY AVENUE
Staten Island,11,MASSACHUSETTS ST SOUTH
Staten Island,7,MASSACHUSETTS STREET
Queens,36-047,218 STREET
Staten Island,88,HOPE AVENUE
Queens,61-021,218 STREET
Queens,23 AVENUE,93 STREET
Staten Island,227,ANDERSON STREET
Staten Island,390,MARYLAND AVENUE
Staten Island,53,HOPE AVENUE
Brooklyn,1639,41 STREET
Staten Island,64,GENESEE AVENUE
Manhattan,14,PRINCE STREET
Queens,84-012,105 STREET
Manhattan,235,EAST 106 STREET
Brooklyn,1266,EAST 85 STREET
Queens,89-066,215 STREET
Brooklyn,994,PUTNAM AVENUE
Queens,107-35,106 STREET
Queens,95-011,124 STREET
Brooklyn,149,82 STREET
Queens,64-61,232 STREET
Queens,74-003,LITTLE NECK PARKWAY
Queens,6,BAYVIEW AVENUE
Queens,2208,GREENE AVENUE
Queens,94-20,HOLLIS COURT BOULEVARD
Brooklyn,695,MONROE STREET
Queens,86-042,89 STREET
Brooklyn,3223,AVENUE S
Queens,68-037,EXETER STREET
Brooklyn,242,AVENUE S
Brooklyn,1631,WEST 11 STREET
Queens,87-051,88 STREET
Brooklyn,1777,EAST 8 STREET
Queens,93-36,91 AVENUE
Brooklyn,3223,AVENUE S
Brooklyn,8124,RIDGE BOULEVARD
Brooklyn,448,EAST 43 STREET
Queens,85-017,131 STREET
Queens,132-018,95 AVENUE
Brooklyn,1786,WEST 9 STREET
Staten Island,431,ADAMS AVENUE
Staten Island,35,CALDERA PLACE
Staten Island,103,RUPERT AVENUE
Queens,203-67,27 AVENUE
Staten Island,33,SOREN STREET
Queens,38-024,210 STREET
Queens,31-12,30 STREET
Queens,109-16,125 STREET
Queens,56-026,174 STREET
Queens,94-15,113 STREET
Brooklyn,1711,WEST 10 STREET
Queens,90-10,ALBERT ROAD
Staten Island,58,ROANOKE STREET
Bronx,3418,GRACE AVENUE
Brooklyn,8401,10 AVENUE
Queens,105-47,135 STREET
Staten Island,165,SUNSET AVENUE
Queens,72-010,73 PLACE
Manhattan,159,2 AVENUE
Staten Island,60,ROANOKE STREET
Queens,160-27,99 STREET
Queens,149-14,115 STREET
Queens,43-46,248 STREET
Brooklyn,2812,AVENUE N
Staten Island,22,MC DONALD STREET
Queens,63-071,WOODHAVEN BOULEVARD
Brooklyn,1982,TROY AVENUE
Queens,62-12,MYRTLE AVENUE
Bronx,258,MT HOPE PLACE
Queens,218-15,STEWART ROAD
Staten Island,10,WASHINGTON AVENUE
Bronx,1744,HUTCHINSON RIVER PARKWAY EAST
Brooklyn,1709,WEST 10 STREET
Queens,63-85,WOODHAVEN BOULEVARD
Queens,63-85,WOODHAVEN BOULEVARD
Brooklyn,10303,SEAVIEW AVENUE
Queens,112-030,202 STREET
Manhattan,269,EAST 10 STREET
Queens,112-40,205 STREET
Brooklyn,207,PROSPECT AV
Brooklyn,,
Queens,203-14,104 AVENUE
Queens,216-34,SAWYER AVENUE
Brooklyn,,
Brooklyn,565,MONTGOMERY STREET
Staten Island,100,GARY STREET
Queens,39-04,CORPORAL KENNEDY STREET
Queens,61-47,CLOVERDALE BOULEVARD
Brooklyn,1506,EAST 94 STREET
Brooklyn,1725,EAST 33 STREET
Brooklyn,227,PROSPECT AVENUE
Queens,115-029,198 STREET
Queens,108-031,50 AVENUE
Queens,104-27,CORONA AVENUE
Brooklyn,9601,SHORE RD
Staten Island,388,RATHBUN AVENUE
Staten Island,222,poillon avenue
Staten Island,182,ISABELLA AVENUE
Queens,1877,WILLOUGHBY AVENUE
Queens,218-14,SPENCER AVENUE
Queens,94-007,212 STREET
Brooklyn,438,83 STREET
Queens,119-070,MERRILL STREET
Queens,53-053,254 STREET
Brooklyn,,
Queens,55-004,111 STREET
Queens,216-34,SAWYER AVENUE
Queens,218-014,99 AVENUE
Queens,109-01,MONTEREY STREET
Manhattan,151,SUFFOLK STREET
Queens,151-45,134 AVENUE
Queens,194-35,109 ROAD
Brooklyn,,
Queens,111-023,42 AVENUE
Queens,48-020,111 STREET
Queens,99-016,201 STREET
Brooklyn,9601,shore rd
Queens,138-037,78 ROAD
Brooklyn,357,EAST  95 STREET
Queens,108-31,48 AVENUE
Queens,108-45,48 AVENUE
Brooklyn,440,47 STREET
Brooklyn,,
Brooklyn,,
Brooklyn,101,SEA BREEZE AVENUE
Brooklyn,101,SEA BREEZE AVENUE
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Staten Island,47,FERN AVENUE
Manhattan,1,UNITED NATIONS PLAZA
Manhattan,150,9 AVENUE
Manhattan,107,MACOMBS PLACE
Manhattan,144,EAST 7 STREET
Manhattan,420,EAST 12 STREET
Staten Island,279,WALKER STREET
Staten Island,34,FREMONT AVENUE
Bronx,675,BURKE AVENUE
Brooklyn,2090,UTICA AVENUE
Bronx,,
Queens,172-54,126 AVENUE
Brooklyn,1241,EAST 34 STREET
Brooklyn,5424,17 AVENUE
Staten Island,144,HAMILTON AVENUE
Queens,94-03,108 STREET
Staten Island,5,JARDINE AVENUE
Queens,65-44,48 AVENUE
Staten Island,143,LANDER AVENUE
Staten Island,99,GREELEY AVENUE
Queens,244-17,136 ROAD
Queens,26-080,30 STREET
Queens,22-63,CRESCENT STREET
Queens,22-20,35 STREET
Staten Island,471,MIDLAND AVENUE
Staten Island,96,GREELEY AVENUE
Queens,217-061,HEMPSTEAD AVENUE
Queens,116-06,230 STREET
Queens,115-103,225 STREET
Bronx,1162,ELLSWORTH AVENUE
Brooklyn,1501,OCEAN PARKWAY
Bronx,3245,PHILIP AVENUE
Queens,47-41,59 STREET
Brooklyn,2142,NEW YORK AVENUE
Bronx,3538,ELY AVENUE
Queens,94-25,PARK LANE SOUTH
Brooklyn,418,AVENUE X
Staten Island,194,WELLBROOK AVENUE
Queens,59-033,59 ROAD
Bronx,1101,PELHAM PARKWAY NORTH
Queens,23-06,30 AVENUE
Brooklyn,5124,AVENUE K
Brooklyn,52,BAY 11 STREET
Queens,177-33,106 AVENUE
Queens,85-040,86 STREET
Brooklyn,1979,EAST 7 STREET
Bronx,3009,BARKER AVENUE
Queens,225-002,114 AVENUE
Brooklyn,1057,EAST 2 STREET
Bronx,2519,ST RAYMONDS AVENUE
Queens,183-16,CAMDEN AVENUE
Bronx,/,PELHAM PARKWAY NOTH
Queens,114-076,180 STREET
Queens,119-44,197 STREET
Staten Island,43,ALPINE AVENUE
Staten Island,412,COLLEGE AVENUE
Queens,99-11,199 STREET
Staten Island,655,TYSENS LANE
Brooklyn,107,BAY  32 STREET
Brooklyn,1625,EAST 15 STREET
Bronx,1845,TENBROECK AVENUE
Queens,104-21,200 STREET
Manhattan,163,EAST 81 STREET
Staten Island,20,PELICAN CIRCLE
Queens,109-30,CENTREVILLE STREET
Staten Island,435,MILL ROAD
Queens,30-79,49 STREET
Brooklyn,553,MARLBOROUGH ROAD
Queens,203-33,28 AVENUE
Bronx,4321,BYRON AVENUE
Staten Island,790,PORT RICHMOND AVE
Bronx,1076,MACE AVENUE
Staten Island,12,PERKIOMEN AVENUE
Staten Island,17,ROBERTS DRIVE
Staten Island,319,FINLEY AVENUE
Queens,29-33,212 STREET
Staten Island,209,DECKER AVENUE
Manhattan,163,EAST  81 STREET
Queens,151-14,85 DRIVE
Brooklyn,462,AVENUE P
Queens,62-20,DRY HARBOR ROAD
Bronx,3942,SETON AVENUE
Queens,59-016,MASPETH AVENUE
Brooklyn,140,8 AVENUE
Queens,137-028,96 STREET
Brooklyn,357,GROVE STREET
Brooklyn,361,GROVE STREET
Bronx,1228,PELHAM PARKWAY SOUTH
Queens,108-27,48 AVENUE
Queens,114-127,228 STREET
Queens,30-032,43 STREET
Brooklyn,1372,47 STREET
Queens,80-054,232 STREET
Brooklyn,636,ELTON STREET
Brooklyn,,
Queens,33-029,150 PLACE
Queens,15-09,144 STREET
Queens,2034,GATES AVENUE
Brooklyn,40,VARET STREET
Brooklyn,40,VARET STREET
Brooklyn,5623,TILDEN AVENUE
Brooklyn,359,GROVE STREET
Staten Island,57,AMSTERDAM PLACE
Brooklyn,310,DRIGGS AVENUE
Queens,111-040,201 STREET
Queens,85-028,ETON STREET
Staten Island,587,OAKLAND AVENUE
Queens,73-007,69 AVENUE
Queens,41-002,39 PLACE
Brooklyn,1648,80 STREET
Brooklyn,339,9 STREET
Queens,115-105,217 STREET
Brooklyn,431,11 STREET
Queens,108-022,QUEENS BOULEVARD
Brooklyn,8685,17 AVENUE
Queens,87-030,113 STREET
Brooklyn,353,GROVE STREET
Brooklyn,310,DRIGGS AVENUE
Bronx,4376,DE REIMER AVENUE
Brooklyn,1287,EAST 94 STREET
Staten Island,231,EVERGREEN STREET
Staten Island,27,SUMMERFIELD PLACE
Queens,86-35,248 STREET
Brooklyn,40,VARET STREET
Brooklyn,494,10 STREET
Brooklyn,5445,KINGS HIGHWAY
Brooklyn,5623,TILDEN AVENUE
Brooklyn,9201,SHORE ROAD
Brooklyn,562,EAST 5 STREET
Brooklyn,310,DRIGGS AVENUE
Bronx,849,EAST 216 STREET
Bronx,1281,ADEE AVENUE
Bronx,1062,MACE AVENUE
Staten Island,308,SAINT JOHNS AVENUE
Staten Island,308,ST JOHNS AVENUE
Staten Island,1868,VICTORY BOULEVARD
Staten Island,21,HOLBERNT COURT
Brooklyn,709,GRAVESEND NECK ROAD
Brooklyn,75,BEAUMONT STREET
Brooklyn,958,ST MARKS AVENUE
Bronx,770,EAST 165 STREET
Brooklyn,1547,EAST  48 STREET
Queens,159-43,91 STREET
Staten Island,276,GANSEVOORT BOULEVARD
Queens,134-36,244 STREET
Queens,78-01,85 STREET
Brooklyn,177,SOUTH 4 STREET
Queens,35-14,157 STREET
Queens,107-020,WATSON PLACE
Manhattan,17,SYLVAN TERRACE
Staten Island,178,ALVERSON AVENUE
Staten Island,34,BARROW PLACE
Queens,1518,BEACH 12 STREET
Staten Island,124,CASSIDY PLACE
Staten Island,559,TOMPKINS AVENUE
Manhattan,220,MADISON AVENUE
Manhattan,220,MADISON AVENUE
Manhattan,685,2 AVENUE
Queens,19-14,24 ROAD
Queens,88-019,179 PLACE
Queens,88-15,198 STREET
Bronx,567,MELROSE AVENUE
Queens,43-030,147 STREET
Bronx,1003,NEILL AVENUE
Brooklyn,79,REEVE PLACE
Brooklyn,124,2 STREET
Queens,86-01,178 STREET
Brooklyn,,
Staten Island,15,CHERRY PLACE
Bronx,4041,DURYEA AVENUE
Queens,149-042,20 ROAD
Queens,30-16,153 STREET
Queens,31-35,CRESCENT STREET
Manhattan,511,WEST 46 STREET
Staten Island,46,SUFFOLK AVENUE
Queens,85-04,253 STREET
Bronx,311,BEDFORD PARK BOULEVARD
Queens,33-039,150 STREET
Bronx,/,AVENUE ST JOHN
Staten Island,639,TOMPKINS AVENUE
Brooklyn,383,5 ST
Brooklyn,7812,14 AVENUE
Brooklyn,4607,14 AVENUE
Manhattan,110,RIVERSIDE DRIVE
Queens,,
Bronx,1408,MACE AVENUE
Queens,Q220G,Hoover - Manton Playgrounds
Bronx,561,MELROSE AVENUE
Brooklyn,207,HUNTINGTON STREET
Brooklyn,207,HUNTINGTON STREET
Queens,89-019,156 AVENUE
Queens,73-046,182 STREET
Queens,94-019,51 AVENUE
Queens,83-005,CHEVY CHASE STREET
Bronx,1824,CEDAR AVENUE
Queens,147-027,109 AVENUE
Brooklyn,1220,38 STREET
Queens,90-069,55 AVENUE
Staten Island,24,MONROE PLACE
Bronx,2768,SEXTON PLACE
Brooklyn,,
Queens,60-084,60 DRIVE
Brooklyn,776,EAST 18 STREET
Queens,251-037,51 AVENUE
Bronx,1465,EAST 233 STREET
Queens,87-65,95 STREET
Staten Island,59,GRAFE STREET
Staten Island,59,GRAFE STREET
Brooklyn,485,LOGAN STREET
Staten Island,473,ELLSWORTH AVENUE
Brooklyn,,
Queens,25-088,38 STREET
Brooklyn,295,BERRY STREET
Queens,104-49,201 STREET
Manhattan,2239,1 AVENUE
Queens,86-01,EDGERTON BOULEVARD
Brooklyn,,
Brooklyn,,
Staten Island,187,QUINLAN AVENUE
Queens,61-55,77 PLACE
Queens,110-020,84 AVENUE
Brooklyn,177,SOUTH  4 STREET
Queens,81-025,164 PLACE
Queens,2127,HIMROD STREET
Queens,30-67,44 STREET
Staten Island,77,GRAVES STREET
Staten Island,68,POND STREET
Brooklyn,8709,AVENUE B
Manhattan,201,WEST 92 STREET
Manhattan,1483,2 AVENUE
Manhattan,207,EAST  37 STREET
Queens,182-008,80 DRIVE
Brooklyn,8317,COLONIAL ROAD
Brooklyn,8114,18 AVENUE
Queens,,
Queens,89-007,145 STREET
Queens,89-048,88 STREET
Queens,104-001,103 AVENUE
Staten Island,232,HARVEST AVENUE
Brooklyn,207,HUNTINGTON STREET
Manhattan,123,WEST 142 STREET
Staten Island,274,ST JOHNS AVENUE
Brooklyn,222,JEFFERSON AVENUE
Manhattan,333,BOWERY
Queens,85-23,54 AVENUE
Queens,182-008,80 DRIVE
Brooklyn,324,KEAP STREET
Queens,157-33,12 ROAD
Brooklyn,150,KENSINGTON STREET
Queens,85-12,ELIOT AVENUE
Staten Island,8,MONROE PLACE
Bronx,412,CALHOUN AVENUE
Staten Island,21,MONROE PLACE
Brooklyn,,
Queens,107-059,LEFFERTS BOULEVARD
Staten Island,15,GRAVES STREET
Queens,82-36,247 STREET
Staten Island,35,DUKE PLACE
Queens,137-36,ROCKAWAY BEACH BOULEVARD
Queens,109-033,GUY R BREWER BOULEVARD
Staten Island,19,VERMONT COURT
Queens,73-003,69 AVENUE
Queens,59-18,SUMMERFIELD STREET
Staten Island,300,ST JOHNS AVENUE
Staten Island,553,TOMPKINS AVENUE
Manhattan,201,EAST  37 STREET
Queens,147-37,COOLIDGE AVENUE
Bronx,1592,WARING AVENUE
Staten Island,124,WELLBROOK AVENUE
Queens,86-027,89 STREET
Staten Island,99,BUFFALO STREET
Staten Island,423,MEDINA STREET
Staten Island,423,medina
Staten Island,36,SELKIRK STREET
Staten Island,60,MORGAN LANE
Staten Island,100,MERRILL AVENUE
Staten Island,100,MERRILL AVENUE
Staten Island,182,ISABELLA AVENUE
Staten Island,3449,HYLAN BOULEVARD
Staten Island,29,MARNE AVENUE
Staten Island,25,MARNE AVENUE
Staten Island,50,MYRNA LANE
Manhattan,609,COLUMBUS AVENUE
Queens,87-01,143 STREET
Manhattan,1341,LEXINGTON AVENUE
Brooklyn,2054,COYLE STREET
Brooklyn,8422,3 AVENUE
Brooklyn,661,56 ST
Bronx,2061,DALY AVENUE
Bronx,2064,DALY AVENUE
Queens,51-39,65 PLACE
Bronx,5641,MOSHOLU AVENUE
Queens,105-17,170 STREET
Bronx,1241,PINCHOT PLACE
Queens,158-39,83 STREET
Manhattan,143,WEST 143 STREET
Brooklyn,207,HUNTINGTON STREET
Bronx,172,REVERE AVENUE
Manhattan,143,WEST 142 STREET
Queens,80-038,214 STREET
Queens,201-015,115 AVENUE
Queens,201-015,115 AVENUE
Queens,201-015,115 AVENUE
Queens,48-17,211 STREET
Bronx,1815,DAVIDSON AVENUE
Brooklyn,580,CROWN STREET
Queens,69-055,CLOVERDALE BOULEVARD
Queens,65-040,LAUREL HILL BOULEVARD
Brooklyn,271,RUTLAND ROAD
Brooklyn,1562,EAST 22 STREET
Queens,1917,PUTNAM AVENUE
Brooklyn,10215,SEAVIEW AVENUE
Brooklyn,1351,78 STREET
Queens,145-44,182 STREET
Staten Island,203,CARLYLE GREEN
Manhattan,220,W 133 ST
Brooklyn,1911,GLENWOOD ROAD
Queens,59-04,69 PLACE
Staten Island,2194,RICHMOND AVENUE
Staten Island,135,8 STREET
Brooklyn,184,16 STREET
Bronx,1789,UNDERCLIFF AVENUE
Staten Island,48,GARRETSON AVENUE
Staten Island,48,GARRETSON AVENUE
Staten Island,99,BUFFALO STREET
Staten Island,99,BUFFALO STREET
Bronx,4180,HUTCHINSON RIVER PARKWAY EAST
Brooklyn,121,WARREN STREET
Queens,63-36,79 STREET
Queens,65-040,LAUREL HILL BOULEVARD
Brooklyn,50,DUFFIELD STREET
Queens,212-14,86 AVENUE
Queens,155-21,CHERRY AVENUE
